Ward Number,Ward Name,Zone,Assembly Constituency,Covid Zone,Containment Zone
75.0,Shankar Mutt,West,Mahalakshmi Layout,Green,No
76.0,Gayithri Nagar,West,Malleshwaram,Green,No
77.0,Dattatreya Temple,West,Gandhinagar,Green,No
79.0,Sarvagna Nagar,East,C.V.Ramannagar,Green,No
80.0,Hoysala Nagar,East,C.V.Ramannagar,Green,No
81.0,Vijnana Nagar,Mahadevapura,K.R.Puram,Green,No
82.0,Garudachar Palya,Mahadevapura,Mahadevpura,Green,No
83.0,Kadugodi,Mahadevapura,Mahadevpura,Green,No
85.0,Dodda Nekkundi,South,Mahadevpura,Green,No
86.0,Marattahalli,Mahadevapura,Mahadevpura,Green,No
87.0,Hal Airport,Mahadevapura,K.R.Puram,Green,No
88.0,Jeevanbhima Nagar,East,C.V.Ramannagar,Green,No
89.0,Jogapalya,East,Shanthinagar,Green,No
90.0,Halsoor,East,Shivajinagar,Green,No
91.0,Bharathi Nagar,East,Shivajinagar,Green,No
92.0,Shivaji Nagar,East,Shivajinagar,Green,No
94.0,Gandhinagar,West,West,Green,No
95.0,Subhash Nagar,West,Gandhinagar,Green,No
96.0,Okalipura,West,Gandhinagar,Green,No
97.0,Dayananda Nagar,West,Rajajinagar,Green,No
98.0,Prakash Nagar,West,Rajajinagar,Green,No
99.0,Rajajinagar,West,Rajajinagar,Green,No
100.0,Basaveshwara Nagar,West,Rajajinagar,Green,No
101.0,Kamakshipalya,West,Rajajinagar,Green,No
102.0,Vrisabhavathi Nagar,West,Mahalakshmi Layout,Green,No
103.0,Kaveripura,West,Govindarjnagara,Green,No
104.0,Govindarajanagara,West,Govindarjnagara,Green,No
105.0,Agrahara Dasarahalli,West,West,Green,No
106.0,Dr Raj Kumar,West,Govindarjnagara,Green,No
107.0,Shivanagara,West,Rajajinagar,Green,No
108.0,Srirammandir,West,Rajajinagar,Green,No
109.0,Chickpete,West,Gandhinagar,Green,No
110.0,Sampangiram Nagar,East,Shivajinagar,Green,No
111.0,Shantala Nagar,East,Shanthinagar,Green,No
112.0,Domlur,East,Shanthinagar,Green,No
113.0,Konena Agrahara,East,C.V.Ramannagar,Green,No
114.0,Agara,East,Shanthinagar,Green,No
115.0,Vannarpete,East,Shanthinagar,Green,No
116.0,Nilasandra,East,Shanthinagar,Green,No
117.0,Shanthi Nagar,East,Shanthinagar,Green,No
120.0,Cottonpete,West,Gandhinagar,Green,No
121.0,Binnipete,West,Gandhinagar,Green,No
122.0,Kempapura Agrahara,South,Vijayanagar,Green,No
123.0,Vijayanagara,South,Vijayanagar,Green,No
125.0,Marenahalli,West,Govindarjnagara,Green,No
126.0,Maruthi Mandira,West,Govindarjnagara,Green,No
127.0,Mudalapalya,South,Govindarjnagara,Green,No
128.0,Nagarabhavi,West,Govindarjnagara,Green,No
130.0,Ullalu,RR Nagar,Yeshwanthpur,Green,No
131.0,Nayandahalli,West,Govindarjnagara,Green,No
,,,,,
132.0,Attiguppe,South,Vijayanagar,Green,No
137.0,Rayapura,South,Chamajpet,Green,No
141.0,Azad Nagar,West,Chamajpet,Green,No
142.0,Sunkenahalli,South,Chikpet,Green,No
143.0,Vishveshwara Puram,South,Chikpet,Green,No
144.0,Siddapura,South,Chikpet,Green,No
146.0,Lakkasandra,South,B.T.M Layout,Green,No
147.0,Adugodi,South,B.T.M Layout,Green,No
